slot,message_component,candidate_feature,desired_direction,measurement_proxy,source_family,evidence_rule_id,downstream_layer,hard_gate_or_weight,reason_ko,run_023_candidate_side_status,mart_columns_used,release_policy,candidate_release_allowed
foreign_hitter,RHP game-script unlocker,vs_rhp_on_base_damage,high,"MLB/MiLB vs RHP OBP, xwOBA, hard-hit/barrel without extreme chase or whiff penalty",Savant + MiLB splits + KBO translation,R1_rhp_low_of_conversion_run_trade,L2 archetype + L4 translation + L6 fit,core_weight,SSG의 문제는 단순 홈런이 아니라 우투 선발 경기에서 외야/DH가 이닝을 다시 여는 능력이다.,candidate_side_proxy_attached,model_component_pct|ssg_rhp_unlock_proxy_pct|two_strike_survival_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_hitter,run-kill avoidance,low_gdp_cs_run_kill_risk,low,"GB%, sprint/attempt context, GDP rate where available, two-strike contact, chase%, whiff%",Savant batted-ball + MiLB play proxy + scouting notes,R2_rhp_ofdh_run_kill,L5 failure risk + L6 fit,core_weight,병살/도루자 같은 이닝 단절이 붙는 순간 SSG의 복구 루트가 사라진다.,candidate_side_proxy_attached,model_component_pct|ssg_rhp_unlock_proxy_pct|two_strike_survival_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_hitter,two-strike survival,two_strike_contact_floor,high,"two-strike contact where available, K%, zone-contact%, chase-contact%, AAA K-BB trend",Savant plate discipline + MiLB trend,R2_rhp_ofdh_run_kill,L4 translation + L5 failure risk,supporting_weight,SSG가 필요한 외야수는 장타만 있는 타자가 아니라 이닝을 끊지 않는 타자다.,candidate_side_proxy_attached,model_component_pct|ssg_rhp_unlock_proxy_pct|two_strike_survival_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_hitter,role stability,corner_of_or_dh_role_continuity,high,"recent OF/DH innings or games, handedness split stability, AAA regular role",MLB roster status + MiLB role context + news/manual check,R1_rhp_low_of_conversion_run_trade,L3 market + L6 fit,feasibility_gate,타자 메시지는 외야/DH 슬롯에서 바로 쓸 수 있어야 의미가 있다.,candidate_side_proxy_attached,model_component_pct|ssg_rhp_unlock_proxy_pct|two_strike_survival_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_pitcher,traffic-command stabilizer,low_free_pass_volatility,low,"BB%, BB% year-to-year variance, zone%, first-pitch strike proxy, K-BB%",Savant + MiLB role context + KBO translation,R3_extra_out_high_of_void,L4 translation + L5 failure risk + L6 fit,core_weight,SSG는 수비 실수나 추가 출루가 생긴 뒤 추가실점으로 번지는 경기를 줄여야 한다.,diagnostic_proxy_attached_score_locked,pitcher_diagnostic_pct|starter_runway_proxy_pct|traffic_command_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_pitcher,starter length floor,five_inning_floor,high,"recent GS, IP/GS, pitch count durability, AAA starter load, times-through-order penalty",MLB/MiLB game logs + role context,R4_top_opponent_short_start_of_void,L3 market + L5 risk + L6 fit,supporting_weight,"짧은 선발은 support-only 메시지지만, 강팀전에서 약점이 커지는 구조라 후보 리스크 가중치로 남긴다.",diagnostic_proxy_attached_score_locked,pitcher_diagnostic_pct|starter_runway_proxy_pct|traffic_command_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_pitcher,extra-out resilience,damage_control_after_traffic,high,"LOB%, HR/BB suppression with runners, GB% with traffic, hard-hit allowed with men on where available",Savant split proxy + game logs + scouting notes,R3_extra_out_high_of_void,L5 failure risk + L6 fit,core_weight,비자책/실책성 상황 이후 한 이닝이 무너지는 흐름을 끊는 투수가 필요하다.,diagnostic_proxy_attached_score_locked,pitcher_diagnostic_pct|starter_runway_proxy_pct|traffic_command_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
foreign_pitcher,ABS adaptation,zone_command_not_called_strike_dependency,high,"zone%, chase%, edge-location tendency, BB% stability, pitch-shape command review",Savant pitch-level + KBO ABS literature/context,R3_extra_out_high_of_void,L4 translation + L5 failure risk,supporting_weight,KBO ABS 환경에서는 커맨드 불안이 볼넷과 긴 이닝으로 바로 번질 수 있다.,diagnostic_proxy_attached_score_locked,pitcher_diagnostic_pct|starter_runway_proxy_pct|traffic_command_proxy_pct|market_access_component_score,fit_preparation_research_only_no_recommendation,False
asian_quota,shock absorber,multi_inning_or_spot_start_flex,high,"multi-inning appearances, spot starts, IP/game, quick recovery usage",NPB/CPBL/ABL roster + game logs + manual availability,R4_top_opponent_short_start_of_void,L3 market + L5 risk + L6 fit,role_gate,아쿼는 정규 외인 에이스 대체가 아니라 짧은 선발/불펜 과부하 충격을 흡수하는 옵션으로 해석한다.,manual_feasibility_proxy_attached,asian_nationality_gate_score|contract_unknown_penalty_score|npb_performance_context_pct,fit_preparation_research_only_no_recommendation,False
asian_quota,contract-realistic optionality,market_access_and_role_acceptance,high,"nationality eligibility, current league status, contract feasibility, role acceptance evidence",official rosters + transactions + news/manual check,Layer1_supporting_need,L3 market + L5 risk,hard_gate,아쿼는 시장성이 핵심이다. SSG fit이 좋아도 실제 영입 가능성이 없으면 제외한다.,manual_feasibility_proxy_attached,asian_nationality_gate_score|contract_unknown_penalty_score|npb_performance_context_pct,fit_preparation_research_only_no_recommendation,False
